"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"AAAG","BB","05/02/2017","FINRA BB Only","N","Common Stock","","AAA CENTURY GROUP USA","USA","AAA Century Group USA, Inc."
"AAALY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","AAREAL BANK AG UNSP/ADR","Germany","Aareal Bank AG"
"AABB","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","A","ASIA BROADBAND INC","USA","Asia Broadband, Inc."
"AABVF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABERDEEN INTL INC","Canada","Aberdeen International Inc."
"AACAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AAC TECHS HLDGS INC ORD","China","AAC Technologies Holdings Inc"
"AACAY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","AAC TECHS HLDGS UNSP/ADR","China","AAC Technologies Holdings Inc"
"AACEY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ASIA CMNT HLDGS UNSP/ADR","Taiwan","Asia Cement (China) Holdings Corp"
"AACS","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","AMER COMMERCE SOLTNS INC","USA","American Commerce Solutions, Inc."
"AACTF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AURORA SOLAR TECHNOLOGIES","Canada","Aurora Solar Technologies Inc."
"AAEH","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALL AMER ENGY HLDG INC","USA","All American Energy Holding, Inc."
"AAGC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALL AMERICAN GOLD CORP","USA","All American Gold Corp."
"AAGIY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","AIA GROUP LTD S/ADR","Hong Kong","AIA Group, Ltd."
"AAGRY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ASTRA AGRO LESTR UNSP/ADR","Indonesia","Astra Agro Lestari TBK"
"AAIGF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AIA GROUP LTD ORD","Hong Kong","AIA Group, Ltd."
"AAIIQ","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALABAMA AIRCRAFT INDUS","USA","Alabama Aircraft Industries, Inc."
"AAIR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AVANTAIR INC","USA","Avantair, Inc."
"AAMAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ATLAS MARA CO NVEST ORD","British Virgin Islands","Atlas Mara Co Nvest Ltd."
"AAMTF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ARMADA MERCANTILE LTD","USA","Armada Mercantile Ltd."
"AAPH","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMER PETRO-HUNTER INC","USA","American Petro-Hunter, Inc."
"AAPJ","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AAP INC","Japan","AAP, Inc."
"AAPT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALL AMERICAN PET CO INC","USA","All American Pet Company, Inc."
"AASL","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMERICA'S SUPPLIERS INC","USA","America's Suppliers, Inc."
"AASP","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ALL-AMER SPORTPARK INC","USA","All-American SportPark, Inc."
"AAST","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALLIED AMERICAN STEEL CRP","USA","Allied American Steel Corp."
"AATV","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADAPTIVE AD SYSTEMS INC","USA","Adaptive Ad Systems, Inc."
"AAUKF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ANGLO AMER PLC ORD.","United Kingdom","Anglo American plc"
"AAWC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALEXANDRIA ADVANTGE WRNTY","USA","Alexandria Advantage Warranty Company"
"AAXT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AAMAXAN TRANSPORT GRP INC","Canada","Aamaxan Transport Group, Inc."
"ABBAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABERDEEN ASIAN INCOME FUN","United Kingdom","Aberdeen Asian Income Fund"
"ABBB","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AUBURN BANCORP INC","USA","Auburn Bancorp, Inc."
"ABBY","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ABBY INC","USA","Abby, Inc."
"ABCAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ATHABASCA MINERALS INC","Canada","Athabasca Minerals Inc."
"ABCED","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ABCO ENERGY INC NEW","USA","ABCO Energy, Inc."
"ABCFF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABACUS MINING & EXPL CORP","Canada","Abacus Mining & Exploration Corp."
"ABCP","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMBASE CORP","USA","AmBase Corp."
"ABCR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ABC RECORDS MGMT & DATA","China","ABC Records Management and Data Storage Inc"
"ABCZF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABCAM PLC ORD","United Kingdom","Abcam PLC"
"ABCZY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ABCAM PLC ADR","United Kingdom","Abcam PLC"
"ABDNF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABERDEEN ASSET MGMT PLC","United Kingdom","Aberdeen Asset Management PLC"
"ABDNY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ABERDEEN ASSET MGMT ADR","United Kingdom","Aberdeen Asset Management PLC"
"ABDR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMBASSADOR FOOD SVCS CORP","USA","Ambassador Food Services Corp."
"ABEC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ANALYTICA BIO-ENERGY CORP","Canada","Analytica Bio-Energy Corp."
"ABGOF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABENGOA SA ORD","Spain","Abengoa S.A."
"ABGOY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ABENGOA SA UNSP/ADR","Spain","Abengoa S.A."
"ABHD","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ABTECH HOLDINGS INC","USA","Abtech Holdings, Inc."
"ABHI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMBICOM HOLDINGS INC","USA","AmbiCom Holdings, Inc."
"ABIWF","OTC Link","05/02/2017","OTC Pink Current","N","Warrants","","ABILITY INC 2018 WTS","","Ability Inc."
"ABKB","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMER BASKETBALL ASSN INC","USA","American Basketball Association, Inc."
"ABKI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ABAKAN INC","USA","Abakan, Inc."
"ABLT","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","AMERICAN BILTRITE INC","USA","American Biltrite, Inc."
"ABLZF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABB LTD ZUERICH","Switzerland","ABB Ltd."
"ABMBF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","B","ABCOURT MINES INC B","Canada","Abcourt Mines Inc."
"ABMC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMER BIO MEDICA CORP","USA","American Bio Medica Corp."
"ABMT","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ADVANCED BIOMEDICAL TECHS","USA","Advanced BioMedical Technologies, Inc."
"ABNAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ABEN RES LTD ORD","Canada","Aben Resources, Ltd."
"ABNC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMER BANCORP INC LA","USA","American Bancorp, Inc."
"ABNK","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ALTAPACIFIC BANCORP","USA","AltaPacific Bancorp"
"ABOT","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ABT HOLDINGS INC","USA","ABT Holdings, Inc."
